DataStream, TIMESTAMP_start, TIMESTAMP_end, parameter, colnumber, flag, flagcol, notes
CAT, 2018-07-05 00:00:00 EST, 2018-08-28 14:30:00 EST, EXO_Date, 21, 1, NA, internally logged data; different format than when logging with CR6
CAT, 2018-07-05 00:00:00 EST, 2018-08-28 14:30:00 EST, EXO_Time, 22, 1, NA, internally logged data; different format than when logging with CR6
CAT, 2018-07-05 00:00:00 EST, 2018-08-20 14:40:00 EST, doobs_9, 18, 2, 58, incorrectly calibrated; needs correcting to match factory value
CAT, 2018-09-25 10:40:00 EST, 2018-09-25 10:55:00 EST, do_5, c(15:16), 2, c(53:54), removing questionable DO values
CAT, 2018-11-19 12:00:00 EST, 2018-11-19 13:50:00 EST, All_Cat, c(1:42), 1, c(43:78),  sensor string up for cleaning
CAT, 2018-11-19 15:00:00 EST, 2018-11-20 12:20:00 EST, do_9, c(18:19), 2, c(56:57), removing questionable DO values
CAT, 2018-12-17 10:20:00 EST, 2018-12-17 13:15:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2019-01-15 12:50:00 EST, 2019-01-15 13:10:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor_string_up_for_cleaning_EXO_only
CAT, 2019-02-08 12:50:00 EST, 2019-02-08 13:10:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor_string_up
CAT, 2019-04-15 09:50:00 EST, 2019-04-15 09:50:00 EST, All_Cat, c(1:42), 5, NA, switched_time_GMT-4_to_GMT-5
CAT, 2019-06-17 11:10:00 EST, 2019-06-17 11:50:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2019-06-17 13:50:00 EST, 2019-06-17 15:40:00 EST, do_5, c(15:16), 2, c(55:54), removing questionable DO values
CAT, 2019-07-13 00:00:00 EST, 2019-07-17 11:40:00 EST, do_5, c(15:16), 5, c(53:54), questionable DO values but leaving in 
